iter	Passed	Remaining
0	156	156476
1	158	79318
2	161	53578
3	163	40817
4	166	33118
5	169	28122
6	171	24332
7	173	21503
8	175	19310
9	177	17583
10	179	16135
11	181	14926
12	183	13945
13	185	13044
14	186	12262
15	188	11571
16	189	10956
17	190	10403
18	192	9913
19	192	9456
20	194	9044
21	195	8691
22	196	8357
23	197	8043
24	198	7749
25	199	7477
26	200	7226
27	202	7012
28	202	6794
29	203	6594
30	204	6405
31	205	6230
32	206	6062
33	207	5907
34	209	5775
35	210	5645
36	211	5509
37	212	5383
38	213	5260
39	214	5144
40	215	5048
41	216	4942
42	217	4838
43	218	4739
44	219	4655
45	220	4568
46	221	4483
47	221	4402
48	223	4336
49	224	4269
50	225	4196
51	226	4125
52	227	4062
53	228	3995
54	228	3931
55	229	3867
56	230	3806
57	230	3747
58	231	3690
59	232	3635
60	232	3584
61	233	3532
62	234	3483
63	234	3436
64	235	3389
65	236	3344
66	237	3300
67	238	3268
68	239	3232
69	240	3193
70	241	3157
71	242	3121
72	242	3085
73	243	3048
74	244	3013
75	245	2979
76	245	2947
77	246	2915
78	247	2883
79	247	2851
80	248	2821
81	249	2791
82	249	2759
83	250	2731
84	251	2703
85	251	2676
86	253	2659
87	254	2635
88	255	2613
89	256	2591
90	257	2572
91	258	2553
92	259	2531
93	260	2508
94	261	2487
95	261	2466
96	262	2444
97	263	2423
98	264	2403
99	264	2383
100	265	2362
101	266	2342
102	267	2333
103	269	2318
104	269	2301
105	270	2282
106	271	2266
107	272	2249
108	273	2233
109	274	2217
110	274	2201
111	275	2184
112	276	2168
113	277	2152
114	277	2136
115	278	2120
116	278	2104
117	279	2089
118	280	2078
119	281	2064
120	282	2055
121	283	2041
122	284	2029
123	285	2017
124	286	2008
125	287	1996
126	288	1982
127	289	1970
128	289	1958
129	290	1945
130	291	1934
131	292	1922
132	293	1911
133	293	1899
134	294	1889
135	295	1878
136	296	1868
137	298	1861
138	298	1851
139	300	1842
140	301	1835
141	301	1823
142	302	1812
143	303	1803
144	304	1793
145	304	1783
146	305	1773
147	306	1764
148	307	1754
149	307	1744
150	308	1735
151	309	1726
152	310	1717
153	311	1708
154	312	1703
155	313	1696
156	314	1688
157	315	1680
158	316	1672
159	317	1664
160	317	1655
161	318	1646
162	319	1638
163	319	1629
164	320	1622
165	321	1614
166	322	1606
167	322	1599
168	323	1591
169	324	1583
170	325	1575
171	326	1573
172	328	1567
173	328	1561
174	329	1554
175	330	1548
176	331	1542
177	332	1535
178	333	1528
179	333	1521
180	334	1514
181	335	1507
182	336	1500
183	336	1493
184	337	1486
185	338	1479
186	338	1473
187	339	1467
188	341	1465
189	343	1462
190	343	1456
191	344	1451
192	345	1446
193	346	1441
194	347	1435
195	348	1429
196	349	1422
197	349	1416
198	350	1410
199	351	1404
200	351	1398
201	352	1392
202	353	1387
203	354	1381
204	354	1375
205	356	1374
206	357	1369
207	358	1364
208	359	1359
209	360	1354
210	361	1349
211	361	1344
212	362	1339
213	363	1334
214	364	1329
215	364	1324
216	365	1318
217	366	1313
218	366	1308
219	367	1303
220	368	1298
221	369	1294
222	371	1293
223	372	1290
224	374	1288
225	375	1284
226	376	1281
227	377	1277
228	378	1273
229	379	1269
230	380	1265
231	381	1261
232	381	1257
233	382	1253
234	383	1248
235	384	1244
236	386	1243
237	387	1239
238	387	1235
239	388	1230
240	389	1227
241	390	1223
242	391	1218
243	391	1214
244	392	1210
245	393	1206
246	394	1201
247	395	1197
248	395	1193
249	396	1189
250	397	1185
251	397	1180
252	398	1176
253	399	1172
254	401	1171
255	402	1168
256	403	1165
257	404	1163
258	405	1159
259	406	1156
260	407	1152
261	407	1148
262	408	1144
263	409	1141
264	410	1137
265	411	1134
266	411	1130
267	412	1126
268	414	1126
269	415	1123
270	416	1120
271	417	1117
272	418	1114
273	419	1111
274	420	1108
275	421	1105
276	422	1102
277	423	1099
278	423	1095
279	424	1091
280	425	1088
281	426	1085
282	427	1082
283	428	1080
284	430	1078
285	430	1075
286	431	1072
287	432	1069
288	434	1067
289	434	1064
290	436	1063
291	437	1060
292	437	1056
293	438	1053
294	439	1050
295	440	1047
296	441	1045
297	442	1042
298	444	1041
299	445	1039
300	446	1036
301	447	1033
302	447	1030
303	448	1027
304	449	1024
305	451	1023
306	452	1020
307	453	1017
308	453	1014
309	454	1011
310	455	1008
311	455	1004
312	456	1001
313	457	998
314	458	997
315	459	995
316	461	993
317	461	990
318	462	988
319	463	985
320	464	982
321	465	979
322	465	976
323	466	973
324	467	970
325	468	967
326	468	965
327	469	962
328	470	959
329	470	956
330	471	953
331	473	952
332	474	950
333	475	947
334	476	945
335	477	942
336	478	940
337	478	938
338	479	935
339	480	932
340	481	929
341	481	927
342	482	924
343	483	921
344	483	918
345	484	915
346	485	913
347	485	910
348	486	907
349	488	907
350	489	904
351	490	902
352	491	900
353	491	897
354	492	895
355	493	892
356	494	890
357	494	887
358	495	884
359	496	881
360	496	879
361	497	876
362	498	874
363	498	871
364	499	869
365	500	866
366	501	864
367	503	864
368	504	862
369	505	860
370	506	858
371	507	856
372	508	854
373	508	851
374	509	849
375	510	846
376	511	844
377	511	842
378	512	839
379	513	837
380	513	834
381	514	832
382	515	829
383	515	827
384	517	827
385	518	825
386	519	823
387	520	821
388	521	819
389	522	817
390	523	815
391	524	812
392	524	810
393	525	808
394	526	805
395	526	803
396	527	801
397	528	798
398	528	796
399	529	794
400	530	791
401	531	790
402	532	789
403	533	787
404	534	785
405	535	783
406	536	781
407	537	779
408	537	777
409	538	774
410	539	772
411	539	770
412	540	768
413	541	766
414	541	763
415	542	761
416	543	759
417	543	757
418	545	755
419	547	756
420	548	754
421	549	753
422	550	751
423	551	749
424	552	747
425	553	745
426	554	744
427	555	742
428	556	740
429	556	738
430	557	736
431	558	734
432	559	732
433	561	732
434	562	731
435	563	729
436	564	727
437	566	726
438	567	724
439	567	722
440	568	720
441	569	718
442	570	717
443	571	715
444	572	713
445	573	712
446	574	710
447	576	710
448	577	708
449	578	707
450	579	705
451	580	703
452	581	701
453	582	700
454	583	698
455	584	697
456	585	695
457	586	693
458	587	691
459	587	690
460	588	688
461	590	687
462	591	686
463	592	684
464	593	682
465	594	681
466	595	679
467	596	677
468	596	675
469	597	673
470	598	671
471	598	669
472	599	668
473	600	666
474	601	664
475	601	662
476	602	660
477	603	658
478	604	657
479	606	656
480	607	654
481	607	653
482	608	651
483	609	649
484	610	648
485	611	646
486	612	644
487	612	642
488	613	641
489	614	639
490	614	637
491	615	635
492	616	633
493	616	631
494	617	630
495	618	628
496	619	627
497	621	626
498	622	624
499	622	622
500	623	621
501	624	619
502	625	617
503	626	616
504	626	614
505	627	612
506	628	611
507	629	609
508	630	608
509	631	606
510	631	604
511	632	602
512	633	601
513	634	600
514	636	598
515	636	597
516	637	595
517	638	594
518	639	592
519	640	591
520	641	590
521	642	588
522	643	586
523	644	585
524	644	583
525	645	581
526	646	579
527	646	578
528	647	576
529	648	575
530	650	574
531	651	572
532	652	571
533	653	569
534	653	568
535	654	566
536	656	565
537	657	564
538	657	562
539	658	561
540	659	559
541	660	558
542	661	556
543	661	554
544	662	553
545	664	552
546	665	551
547	666	549
548	667	548
549	668	546
550	669	545
551	670	543
552	670	542
553	671	540
554	672	539
555	673	537
556	673	536
557	674	534
558	675	532
559	676	531
560	676	529
561	677	528
562	679	527
563	680	525
